idx,treatment,time,rep_1,rep_2,rep_3
1,Testigo,0,14.0047,14.86993,14.1038
2,Testigo,12,19.9268,19.9892,20.0374
3,Testigo,24,25.0925,25.0898,25.1699
4,Testigo,36,34.3698,35.0509,34.4201
5,Testigo,48,38.3594,38.5298,38.5218
6,Testigo,60,42.6658,42.6928,42.225
7,Testigo,72,44.5579,44.4128,44.0688
8,Testigo,84,44.0392,44.0392,45.0712
9,Testigo,96,44.1627,44.0824,45.5136
10,Testigo,108,45.6634,46.7791,46.1035
11,Testigo,120,46.775,45.972,46.7671
12,Testigo,132,47.453,45.5199,47.2014
13,Testigo,144,49.6635,48.1488,46.1078
14,Testigo,156,47.5327,50.2919,49.2435
15,Testigo,168,49.4766,49.8283,52.1632
16,20 W/cm2 15 seg,0,14.9307,14.882,14.4874
17,20 W/cm2 15 seg,12,20.9919,20.2723,20.6549
18,20 W/cm2 15 seg,24,27.028,27.866,26.8173
19,20 W/cm2 15 seg,36,34.2347,34.0862,33.4835
20,20 W/cm2 15 seg,48,38.3756,38.468,37.9769
21,20 W/cm2 15 seg,60,40.5199,40.4246,39.6404
22,20 W/cm2 15 seg,72,42.0442,41.3248,41.388
23,20 W/cm2 15 seg,84,42.301,41.9449,42.3646
24,20 W/cm2 15 seg,96,42.319,41.8256,42.7532
25,20 W/cm2 15 seg,108,42.0265,42.8004,43.3479
26,20 W/cm2 15 seg,120,43.797,43.003,43.4677
27,20 W/cm2 15 seg,132,43.9672,43.7527,42.6239
28,20 W/cm2 15 seg,144,43.9415,44.12,44.0668
29,20 W/cm2 15 seg,156,44.3889,45.5219,44.416
30,20 W/cm2 15 seg,168,44.3312,46.1826,45.3154
31,20 W/cm2 1 min,0,14.1942,14.482,14.2271
32,20 W/cm2 1 min,12,17.2964,17.194,16.9815
33,20 W/cm2 1 min,24,24.4598,24.3623,24.534
34,20 W/cm2 1 min,36,30.1822,30.6481,30.2287
35,20 W/cm2 1 min,48,32.6336,32.9715,32.75
36,20 W/cm2 1 min,60,35.1172,34.0873,33.8469
37,20 W/cm2 1 min,72,38.3513,38.0107,38.6762
38,20 W/cm2 1 min,84,38.186,39.4388,37.9486
39,20 W/cm2 1 min,96,42.869,42.5185,42.6265
40,20 W/cm2 1 min,108,42.6265,39.4686,38.169
41,20 W/cm2 1 min,120,39.0804,38.8526,38.7712
42,20 W/cm2 1 min,132,40.7352,41.4455,39.1003
43,20 W/cm2 1 min,144,42.7949,41.9703,43.8384
44,20 W/cm2 1 min,156,37.7866,41.0984,41.2253
45,20 W/cm2 1 min,168,46.0768,46.214,46.6211
46,34 W/cm2 15 seg,0,14.5545,14.2925,13.5671
47,34 W/cm2 15 seg,12,18.838,18.9513,18.7477
48,34 W/cm2 15 seg,24,25.0855,25.0752,25.5056
49,34 W/cm2 15 seg,36,29.1587,29.0349,29.0012
50,34 W/cm2 15 seg,48,32.282,31.7834,31.6301
51,34 W/cm2 15 seg,60,33.8712,32.3906,32.5699
52,34 W/cm2 15 seg,72,36.3055,35.6255,35.311
53,34 W/cm2 15 seg,84,34.9264,34.8697,33.0583
54,34 W/cm2 15 seg,96,36.2325,36.733,35.754
55,34 W/cm2 15 seg,108,33.6115,34.5287,33.9568
56,34 W/cm2 15 seg,120,38.7245,37.6539,37.7233
57,34 W/cm2 15 seg,132,39.1174,39.1854,40.1094
58,34 W/cm2 15 seg,144,39.0238,37.1327,38.2466
59,34 W/cm2 15 seg,156,38.2213,38.7958,38.931
60,34 W/cm2 15 seg,168,37.0669,36.937,36.8998
61,34 W/cm2 1 min,0,14.5048,14.9547,14.0754
62,34 W/cm2 1 min,12,18.6591,18.2854,18.2524
63,34 W/cm2 1 min,24,25.2402,24.91,25.106
64,34 W/cm2 1 min,36,31.5681,31.3899,31.4564
65,34 W/cm2 1 min,48,35.7329,36.488,35.7936
66,34 W/cm2 1 min,60,37.9722,37.4354,37.9388
67,34 W/cm2 1 min,72,40.9591,41.9667,40.9665
68,34 W/cm2 1 min,84,38.9706,38.9233,38.9524
69,34 W/cm2 1 min,96,41.9198,42.7413,42.8646
70,34 W/cm2 1 min,108,40.8001,39.8336,41.4665
71,34 W/cm2 1 min,120,42.8226,43.1791,41.8818
72,34 W/cm2 1 min,132,40.0914,39.4163,40.7786
73,34 W/cm2 1 min,144,45.3365,43.6785,45.1786
74,34 W/cm2 1 min,156,43.3764,43.5923,43.0838
75,34 W/cm2 1 min,168,42.7134,44.1303,44.7989
